Bulk Density,Moisture,Sand,Silt,Clay,pH,EC,OM,TN,CEC,Depth,Sampling,SOCC,SOCD,SOC Stock
1.52,32.82,6.4,55.42,38.17,8.33,3.79,2.389,0.14,27.15,0-20,Harbaria,1.389,0.021,42.226
1.48,32.67,8.42,55.17,36.4,8.2,3.48,3.562,0.13,27.1,20-40,Harbaria,2.071,0.031,61.302
1.4,34.92,3.88,61.22,34.88,8.51,3.19,6.441,0.09,26.86,40-60,Harbaria,3.745,0.052,104.86
1.49,37.57,3.9,65.71,30.38,8.39,3.38,12.621,0.08,25.5,60-80,Harbaria,7.338,0.109,218.672
1.37,38.02,3.93,60.93,35.12,8.45,3.27,15.698,0.06,29.87,80-100,Harbaria,9.127,0.125,250.08
1.55,32.82,11.41,50.36,38.21,7.89,7.23,1.742,0.13,26.61,0-20,Hiron Point,1.013,0.016,31.403
1.49,38.92,12.68,47.66,39.64,8.65,6.92,3.261,0.11,26.99,20-40,Hiron Point,1.896,0.028,56.501
1.52,38.96,6.43,58.59,34.97,8.78,7,5.513,0.09,25.48,40-60,Hiron Point,3.205,0.049,97.432
1.51,36.07,6.39,61.86,31.74,8.86,6.45,11.83,0.08,25.1,60-80,Hiron Point,6.878,0.104,207.716
1.31,41.82,8.83,62.68,28.48,8.74,6.46,14.988,0.07,25,80-100,Hiron Point,8.714,0.114,228.307
1.59,33.95,5.97,50.81,43.21,8.28,3.44,2.571,0.1,29.96,0-20,Karamjal,1.495,0.024,47.541
1.52,38.49,4.96,52.95,42.07,8.48,3.12,4.083,0.09,28.3,20-40,Karamjal,2.374,0.036,72.17
1.39,36.36,3.95,55.06,40.98,8.51,2.7,6.625,0.09,28.11,40-60,Karamjal,3.852,0.054,107.086
1.39,39.76,5.77,52.83,41.39,8.5,2.98,12.851,0.08,29.73,60-80,Karamjal,7.472,0.104,207.722
1.46,40.12,5.41,56.06,38.52,8.58,2.64,16.228,0.07,27.71,80-100,Karamjal,9.435,0.138,275.502
1.58,38.1,5.66,43.26,51.07,7.95,6.42,2.203,0.11,30,0-20,Katka,1.281,0.02,40.48
1.44,37.48,3.27,48.74,47.98,8.01,6.52,3.731,0.1,28.97,20-40,Katka,2.169,0.031,62.467
1.58,47.9,4.52,54.34,41.13,8.61,6.11,5.879,0.09,29.41,40-60,Katka,3.418,0.054,108.009
1.24,44.91,3.92,50.01,46.05,8.48,5.81,12.945,0.09,28.55,60-80,Katka,7.526,0.093,186.645
1.26,46.3,3.18,54.31,42.5,8.75,5.97,15.342,0.07,27.92,80-100,Katka,8.92,0.112,224.784
1.41,31.82,5.94,40.11,53.95,8.1,4.78,2.15,0.15,32.17,0-20,Munshiganj,1.25,0.018,35.25
1.38,33.67,4.39,41.79,53.82,8.29,4.38,4.936,0.14,32.1,20-40,Munshiganj,2.87,0.04,79.212
1.33,35.92,4.11,42.35,53.54,8.34,4.19,5.745,0.1,30.39,40-60,Munshiganj,3.34,0.044,88.844
1.31,36.59,3.8,43.12,53.08,8.49,4.1,9.615,0.09,30.33,60-80,Munshiganj,5.59,0.073,146.458
1.24,38.32,3.14,45.88,50.98,8.57,3.55,13.984,0.09,29.81,80-100,Munshiganj,8.13,0.101,201.624