Sample,Depth,SOCC,SOCD,SOC Stock,Sampling
Hb-1,0-20,1.389,0.021,42.226,Harbaria
Hb-2,20-40,2.071,0.031,61.302,Harbaria
Hb-3,40-60,3.745,0.052,104.86,Harbaria
Hb-4,60-80,7.338,0.109,218.672,Harbaria
Hb-5,80-100,9.127,0.125,250.08,Harbaria
H-1,0-20,1.013,0.016,31.403,Hiron Point
H-2,20-40,1.896,0.028,56.501,Hiron Point
H-3,40-60,3.205,0.049,97.432,Hiron Point
H-4,60-80,6.878,0.104,207.716,Hiron Point
H-5,80-100,8.714,0.114,228.307,Hiron Point
Kj-1,0-20,1.495,0.024,47.541,Karamjal
Kj-2,20-40,2.374,0.036,72.17,Karamjal
Kj-3,40-60,3.852,0.054,107.086,Karamjal
Kj-4,60-80,7.472,0.104,207.722,Karamjal
Kj-5,80-100,9.435,0.138,275.502,Karamjal
K-1,0-20,1.281,0.02,40.48,Katka
K-2,20-40,2.169,0.031,62.467,Katka
K-3,40-60,3.418,0.054,108.009,Katka
K-4,60-80,7.526,0.093,186.645,Katka
K-5,80-100,8.92,0.112,224.784,Katka
M-1,0-20,1.25,0.018,35.25,Munshiganj
M-2,20-40,2.87,0.04,79.212,Munshiganj
M-3,40-60,3.34,0.044,88.844,Munshiganj
M-4,60-80,5.59,0.073,146.458,Munshiganj
M-5,80-100,8.13,0.101,201.624,Munshiganj